Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,DIVISLAB.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MCDHOLDING.NS,MOTHERSON.NS,NAUKRI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS
9/7/2023,2507.276367,802.5355225,4996.682617,3169.906494,976.6110229,4563.51416,1517.852417,728.1489868,863.232605,150.9921417,4414.631836,1225.702881,227.7172699,1090.997314,3654.824219,3785.100098,1109.383057,3322.088135,973.6845703,1826.395386,1350.020996,1125.395264,783.9777222,652.7199097,2711.247314,468.9529419,2392.654297,950.0770264,1423.793335,1362.765991,78.54432678,393.1671143,810.7487183,356.9966736,2798.103271,5328.905762,1541.980347,10075.50195,68.75,65.30143738,879.6622314,1063.623413,218.8970337,156.6821442,1238.882813,174.0383606,1207.065918,1340.664917,558.2894897,25474.44336,363.2759094,1105.494751,846.5462036,124.6721268,3209.646729,1187.536987,3152.963379,2084.512695,8391.875,605.6980591,194.5035248,202.4452057
9/8/2023,2517.067627,817.4981689,4953.06543,3161.80249,978.7075806,4604.483398,1539.278442,732.8413086,873.637146,154.1218414,4424.180664,1221.091553,234.4490204,1079.378418,3659.573242,3782.399902,1103.189209,3291.283203,979.3959961,1828.718506,1428.683594,1132.619629,790.0856934,653.4156494,2755.062988,469.9893188,2398.713623,954.8979492,1432.941772,1365.92627,80.51435852,390.3014832,807.2357788,357.8348083,2852.366943,5321.717773,1543.753174,10125.72949,68.75,65.46585083,885.0582275,1062.989624,224.6475983,159.0097351,1237.721802,175.1557312,1215.106445,1334.64563,562.5317383,25706.33789,374.8147888,1102.957642,841.0254517,124.0494919,3197.246094,1181.642456,3179.099121,2083.314453,8328.05957,600.2573853,193.4052887,201.1122131
9/11/2023,2612.632813,874.4258423,5063.152344,3182.649414,998.7749634,4649.807617,1547.96875,730.9624023,878.5189209,154.8882904,4451.511719,1223.789673,231.8311462,1072.591675,3696.625977,3810.75,1109.116211,3324.0896,992.4508057,1841.175293,1424.546143,1150.119873,794.1738281,664.546936,2796.818359,478.5767822,2420.135742,962.4737549,1434.276855,1372.292725,81.54219818,394.3133545,815.6470337,360.768158,2845.092285,5351.004395,1558.082275,10323.54883,68.75,66.48516846,891.3240967,1074.832397,227.3125763,158.1045532,1246.961304,179.1172943,1228.209473,1343.301636,570.4859009,25532.44336,375.457428,1109.251221,850.3909912,125.6300354,3233.241455,1187.16272,3193.210205,2082.515869,8358.831055,611.2871704,193.8527222,203.3806
9/12/2023,2533.453125,850.9413452,4947.153809,3180.159668,999.2741699,4663.544434,1540.726807,734.8834229,878.1244507,148.3521118,4450.147949,1216.382324,225.0162659,1061.662842,3747.629395,3753.25,1120.970337,3262.333496,971.3807983,1849.67749,1395.534058,1150.882813,796.6559448,656.894165,2765.4104,471.568634,2384.448486,974.5262451,1413.45813,1395.203979,78.41585541,397.7962341,807.6810913,361.4266968,2894.145752,5347.896973,1534.298828,10293.90332,68.75,64.11773682,892.5791016,1084.095581,219.8320923,155.9493561,1228.927002,172.729126,1210.465942,1339.670166,567.2560425,25767.70117,366.6234741,1117.398071,852.5105591,123.5705338,3326.272461,1184.496216,3165.88208,2054.209717,8467.445313,597.9821777,188.5650787,203.4507599
9/13/2023,2516.667969,841.9735718,4978.749512,3200.567139,1012.802185,4651.645508,1551.065308,739.2939453,902.5332031,151.4179382,4490.194824,1205.295654,232.4128876,1057.316772,3711.071289,3813.699951,1133.832153,3241.878418,963.4136353,1911.022095,1377.703247,1144.46582,800.0626831,646.210144,2741.922852,476.9481201,2391.795654,973.8374634,1439.07373,1392.647949,79.74347687,399.8683167,802.2384644,364.100708,2857.429199,5380.583496,1513.617554,10264.30664,68.75,64.15061188,868.90979,1077.394653,221.7489471,158.535614,1229.569336,174.4446869,1216.520996,1338.675171,575.0656738,25969.06055,366.4700928,1120.812988,876.7130737,124.0973969,3314.243408,1179.256714,3242.798096,2062.197266,8531.357422,601.7412109,189.7853241,203.7781525
9/14/2023,2517.567139,842.0726318,5051.825684,3163.950684,1019.241638,4686.666016,1549.16748,741.1135254,902.3359985,152.7592468,4457.163574,1210.446533,230.6675873,1061.108398,3777.410156,3808.050049,1134.968262,3301.535156,966.1972656,1909.637939,1371.201416,1151.959106,799.5759888,641.4893188,2745.585693,490.9150391,2386.309082,971.7714233,1442.238525,1400.641357,81.07110596,396.7381287,801.8921509,363.4920349,2869.078125,5341.242676,1542.226563,10278.76172,68.75,64.80822754,875.6893921,1091.865356,222.496994,161.983902,1226.925781,176.2053833,1217.637695,1345.888306,575.8851318,26173.39063,367.4387817,1115.983276,872.0303345,126.1568985,3306.997559,1197.454346,3240.959717,2055.308105,8582.331055,624.9384155,192.1444092,204.1289063
9/15/2023,2537.799316,837.9604492,5059.02832,3121.376953,1025.481567,4963.348145,1536.381714,740.9058228,923.2437134,149.9915009,4416.727051,1212.163452,232.121994,1092.660034,3775.035645,3796,1149.756348,3346.253418,961.8776855,1950.418945,1409.769165,1170.805664,808.75,640.942688,2806.433105,490.1253967,2356.632813,976.4448242,1434.079102,1404.963379,78.758461,395.3273926,804.3660278,361.9654846,2859.19873,5374.463867,1576.793701,10315.12109,68.75,64.74246979,886.4121704,1098.889404,220.8606567,160.906311,1226.085938,175.2573242,1219.896118,1365.6875,577.3313599,26519.05469,368.7528992,1121.83728,863.5028076,126.3963699,3342.528809,1216.354004,3228.289551,2067.039795,8622.240234,627.8070679,192.225769,206.2803345
9/18/2023,2500.232422,823.6914063,5042.48584,3130.800049,1023.085449,5007.994629,1558.207275,746.4882202,907.5136108,153.4405365,4478.454102,1217.118164,233.74263,1078.269897,3745.155762,3797.899902,1131.678711,3350.695801,953.4784546,1935.194092,1404.695801,1171.164795,792.8353882,655.9002686,2852.033691,478.2312927,2374.715088,974.2310791,1440.903442,1386.560059,79.31520844,398.5897827,800.3582764,358.8624878,2870.306885,5355.958984,1616.53125,10312.03418,68.75,65.26856232,887.6574707,1108.463623,225.5359497,160.9924927,1239.253418,180.6748505,1209.274658,1366.732056,582.2967529,26120.9375,366.8824768,1119.739624,868.4813232,124.9595032,3349.820557,1206.764038,3318.621094,2052.163086,8523.110352,623.3060913,192.3884583,203.96521
9/20/2023,2468.11084,810.6113281,4974.078613,3138.6604,1025.631348,5014.089844,1551.614624,745.5339355,898.1445923,150.1192322,4411.416016,1216.28418,236.2773895,1053.592651,3739.516357,3729.399902,1109.363159,3359.922852,950.4067993,1922.588989,1392.18457,1160.754517,761.0304565,644.2224121,2803.685547,472.1115112,2353.913086,971.2302856,1424.633911,1385.119385,78.67280579,399.3833618,778.5384521,357.0864868,2840.963379,5316.8125,1609.194336,10140.18457,68.75,64.87399292,882.5184326,1101.704224,226.0502319,162.2425232,1234.831299,184.7831268,1182.323975,1338.376587,579.5488892,25839.60547,367.918396,1125.105957,857.3905029,122.9000015,3349.728027,1192.308716,3285.976318,2058.40332,8355.324219,615.788147,188.5650787,201.1590118
9/21/2023,2477.052979,823.5426636,4987.740234,3167.807617,1012.802185,4919.524414,1524.494873,740.1146851,905.2946167,151.2689056,4441.768066,1183.613159,233.077774,1037.705078,3707.064209,3686.949951,1119.923218,3354.699219,947.9110107,1889.766479,1392.332397,1146.933594,755.9932861,640.2966309,2747.92041,473.3453369,2360.115967,943.8294067,1395.804077,1395.808228,79.44368744,394.5779114,770.2261353,350.3516235,2850.154785,5239.78125,1559.214722,10078.98145,68.75,63.36147308,877.5869141,1094.575928,223.4320679,160.9494019,1241.575806,182.0292206,1173.712891,1327.432373,567.0632324,26023.54688,364.5420837,1118.276245,858.6721191,122.421051,3330.452881,1208.494995,3283.840088,2055.008545,8212.482422,618.3105469,184.2536469,200.6211548
